CurrencyCode,CurrencyName,Buy,Transfer,Sell
AUD,AUSTRALIAN DOLLAR   ,"16,858.48","17,028.77","17,574.01"
CAD,CANADIAN DOLLAR     ,"18,476.78","18,663.41","19,260.99"
CHF,SWISS FRANC         ,"32,304.22","32,630.52","33,675.31"
CNY,YUAN RENMINBI       ,"3,608.68","3,645.13","3,761.84"
DKK,DANISH KRONE        ,-,"4,069.09","4,224.66"
GBP,POUND STERLING      ,"34,519.87","34,868.55","35,985.00"
HKD,HONGKONG DOLLAR     ,"3,298.44","3,331.75","3,459.13"
INR,INDIAN RUPEE        ,-,296.18,308.93
JPY,YEN                 ,170.78,172.50,181.63
KRW,KOREAN WON          ,16.24,18.05,19.58
KWD,KUWAITI DINAR       ,-,"86,094.12","90,266.39"
MYR,MALAYSIAN RINGGIT   ,-,"6,201.93","6,336.81"
NOK,NORWEGIAN KRONER    ,-,"2,596.79","2,706.87"
RUB,RUSSIAN RUBLE       ,-,301.47,333.70
SAR,SAUDI RIAL          ,-,"7,001.95","7,303.24"
SEK,SWEDISH KRONA       ,-,"2,752.66","2,869.36"
SGD,SINGAPORE DOLLAR    ,"19,923.04","20,124.28","20,810.22"
THB,THAILAND BAHT       ,722.47,802.75,836.78
USD,US DOLLAR           ,"26,181.00","26,211.00","26,451.00"
